"ONTOLOGY" "ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p_adjust" "qvalue" "geneID" "Count"
"GO:0009695" "BP" "GO:0009695" "jasmonic acid biosynthetic process" 0.016260162601626 "32/25784" 0.000235673141023822 0.00217447751451313 0.00159430812594361 "AT1G17420/AT1G20510/AT1G72520/AT1G76690" 4
"GO:0009642" "BP" "GO:0009642" "response to light intensity" 0.0487804878048781 "373/25784" 0.000266744131243687 0.00242877551079778 0.00178075721966007 "AT3G22840/AT1G72610/AT5G59820/AT5G37770/AT1G29670/AT1G17420/AT2G41100/AT4G17490/AT1G27730/AT4G01870/AT2G28080/AT2G23120" 12
"GO:0009967" "BP" "GO:0009967" "positive regulation of signal transduction" 0.024390243902439 "95/25784" 0.000303673169971377 0.00272911472234017 0.00200096333460292 "AT5G26920/AT4G09570/AT4G37260/AT3G56400/AT3G50060/AT5G58430" 6
"GO:0023056" "BP" "GO:0023056" "positive regulation of signaling" 0.024390243902439 "96/25784" 0.000321366806753524 0.00285110038812101 0.0020904021707854 "AT5G26920/AT4G09570/AT4G37260/AT3G56400/AT3G50060/AT5G58430" 6
"GO:0010647" "BP" "GO:0010647" "positive regulation of cell communication" 0.024390243902439 "99/25784" 0.000379334923447476 0.00332278186108422 0.00243623495138819 "AT5G26920/AT4G09570/AT4G37260/AT3G56400/AT3G50060/AT5G58430" 6
"GO:0042180" "BP" "GO:0042180" "cellular ketone metabolic process" 0.032520325203252 "185/25784" 0.000420037271986585 0.00363332240268396 0.00266392059338861 "AT2G41640/AT1G56660/AT5G26920/AT5G19240/AT4G34410/AT1G23710/AT2G40000/AT2G41010" 8
"GO:0002764" "BP" "GO:0002764" "immune response-regulating signaling pathway" 0.016260162601626 "38/25784" 0.0004625597985132 0.00395174543914981 0.00289738561251933 "AT4G12720/AT3G18690/AT5G01540/AT2G39660" 4
"GO:0044403" "BP" "GO:0044403" "biological process involved in symbiotic interaction" 0.024390243902439 "104/25784" 0.000493788150379033 0.00416709024466209 0.00305527456332085 "AT5G50260/AT3G52400/AT3G50930/AT4G12720/AT5G61900/AT3G11820" 6
"GO:1901657" "BP" "GO:1901657" "glycosyl compound metabolic process" 0.040650406504065 "291/25784" 0.000517132658617057 0.00431151565979522 0.00316116602984681 "AT3G13310/AT5G57220/AT1G18570/AT1G21120/AT2G46330/AT4G14365/AT4G37260/AT5G63130/AT3G56400/AT1G11050" 10
"GO:0010119" "BP" "GO:0010119" "regulation of stomatal movement" 0.024390243902439 "109/25784" 0.000633484996391724 0.00521870973217944 0.00382631288547382 "AT4G33050/AT3G56400/AT3G11820/AT2G39660/AT5G58430/AT2G17290" 6
"GO:0002213" "BP" "GO:0002213" "defense response to insect" 0.016260162601626 "43/25784" 0.000745037698100596 0.00606548337747779 0.00444716000599984 "AT4G31870/AT5G57220/AT3G44260/AT1G74930" 4
"GO:0010941" "BP" "GO:0010941" "regulation of cell death" 0.024390243902439 "114/25784" 0.00080203268745121 0.00642735071392351 0.00471247801051283 "AT5G47910/AT3G52400/AT1G72940/AT5G25930/AT5G61900/AT3G11820" 6
"GO:0042542" "BP" "GO:0042542" "response to hydrogen peroxide" 0.0203252032520325 "76/25784" 0.000808062878773621 0.00642735071392351 0.00471247801051283 "AT5G37770/AT5G05300/AT4G23810/AT3G10930/AT5G05410" 5
"GO:0031348" "BP" "GO:0031348" "negative regulation of defense response" 0.0203252032520325 "77/25784" 0.000857543994042787 0.00674341413497283 0.00494421298000746 "AT5G39670/AT3G52400/AT3G11820/AT3G61190/AT4G39030" 5
"GO:0062012" "BP" "GO:0062012" "regulation of small molecule metabolic process" 0.0284552845528455 "171/25784" 0.00131661620486998 0.0100326918355512 0.00735588297039199 "AT2G41640/AT1G56660/AT5G26920/AT5G19240/AT4G34410/AT1G23710/AT2G41010" 7
"GO:0031408" "BP" "GO:0031408" "oxylipin biosynthetic process" 0.0121951219512195 "23/25784" 0.00131932797259416 0.0100326918355512 0.00735588297039199 "AT1G17420/AT1G72520/AT1G76690" 3
"GO:0071248" "BP" "GO:0071248" "cellular response to metal ion" 0.0121951219512195 "23/25784" 0.00131932797259416 0.0100326918355512 0.00735588297039199 "AT5G59780/AT2G37430/AT5G61900" 3
"GO:0044272" "BP" "GO:0044272" "sulfur compound biosynthetic process" 0.0284552845528455 "172/25784" 0.0013615452866904 0.0102411884607582 0.00750875089456263 "AT5G57220/AT1G18570/AT2G38470/AT4G14680/AT1G73500/AT3G56400/AT3G45640" 7
"GO:0016143" "BP" "GO:0016143" "S-glycoside metabolic process" 0.032520325203252 "229/25784" 0.00167011307763298 0.0121654552602318 0.00891960668608417 "AT3G13310/AT5G57220/AT1G18570/AT1G21120/AT2G46330/AT4G37260/AT3G56400/AT1G11050" 8
"GO:0019757" "BP" "GO:0019757" "glycosinolate metabolic process" 0.032520325203252 "229/25784" 0.00167011307763298 0.0121654552602318 0.00891960668608417 "AT3G13310/AT5G57220/AT1G18570/AT1G21120/AT2G46330/AT4G37260/AT3G56400/AT1G11050" 8
"GO:0019760" "BP" "GO:0019760" "glucosinolate metabolic process" 0.032520325203252 "229/25784" 0.00167011307763298 0.0121654552602318 0.00891960668608417 "AT3G13310/AT5G57220/AT1G18570/AT1G21120/AT2G46330/AT4G37260/AT3G56400/AT1G11050" 8
"GO:0031407" "BP" "GO:0031407" "oxylipin metabolic process" 0.0121951219512195 "25/25784" 0.00168949653050164 0.012178454157366 0.00892913736515119 "AT1G17420/AT1G72520/AT1G76690" 3
"GO:0009694" "BP" "GO:0009694" "jasmonic acid metabolic process" 0.016260162601626 "57/25784" 0.00214893315637076 0.0152393422323104 0.0111733540553295 "AT1G17420/AT1G20510/AT1G72520/AT1G76690" 4
"GO:0010558" "BP" "GO:0010558" "negative regulation of macromolecule biosynthetic process" 0.040650406504065 "352/25784" 0.00215817274388211 0.0152393422323104 0.0111733540553295 "AT5G52830/AT5G22250/AT1G68840/AT1G80840/AT3G56400/AT3G44260/AT1G27730/AT4G11660/AT3G15210/AT1G13260" 10
"GO:0009733" "BP" "GO:0009733" "response to auxin" 0.0447154471544715 "417/25784" 0.00234937915819777 0.0164219230047763 0.0120404120600885 "AT5G54490/AT5G57560/AT5G47230/AT5G37770/AT4G34410/AT4G11280/AT2G39650/AT4G37260/AT3G50060/AT4G27280/AT4G37290" 11
"GO:0045892" "BP" "GO:0045892" "negative regulation of DNA-templated transcription" 0.032520325203252 "246/25784" 0.00260424904324001 0.0177056377116304 0.0129816205917339 "AT5G52830/AT1G68840/AT1G80840/AT3G56400/AT1G27730/AT4G11660/AT3G15210/AT1G13260" 8
"GO:0052542" "BP" "GO:0052542" "defense response by callose deposition" 0.0121951219512195 "29/25784" 0.00260979052974899 0.0177056377116304 0.0129816205917339 "AT5G57220/AT1G18570/AT5G58430" 3
"GO:1990110" "BP" "GO:1990110" "callus formation" 0.0121951219512195 "29/25784" 0.00260979052974899 0.0177056377116304 0.0129816205917339 "AT1G21110/AT1G21120/AT3G54150" 3
"GO:1902679" "BP" "GO:1902679" "negative regulation of RNA biosynthetic process" 0.032520325203252 "249/25784" 0.00280476882780752 0.0186625002773347 0.0136831839575225 "AT5G52830/AT1G68840/AT1G80840/AT3G56400/AT1G27730/AT4G11660/AT3G15210/AT1G13260" 8
"GO:1903507" "BP" "GO:1903507" "negative regulation of nucleic acid-templated transcription" 0.032520325203252 "249/25784" 0.00280476882780752 0.0186625002773347 0.0136831839575225 "AT5G52830/AT1G68840/AT1G80840/AT3G56400/AT1G27730/AT4G11660/AT3G15210/AT1G13260" 8
"GO:0042060" "BP" "GO:0042060" "wound healing" 0.0121951219512195 "30/25784" 0.0028795102791692 0.018977343935096 0.0139140246071133 "AT1G21110/AT1G21120/AT3G54150" 3
"GO:0009644" "BP" "GO:0009644" "response to high light intensity" 0.016260162601626 "63/25784" 0.00309956861651979 0.0202349196474688 0.0148360682538485 "AT3G22840/AT1G17420/AT4G17490/AT1G27730" 4
"GO:0043069" "BP" "GO:0043069" "negative regulation of programmed cell death" 0.0121951219512195 "31/25784" 0.00316576902375224 0.0204739454620238 0.0150113199158739 "AT5G47910/AT3G52400/AT3G11820" 3
"GO:2000037" "BP" "GO:2000037" "regulation of stomatal complex patterning" 0.00813008130081301 "10/25784" 0.00387881384147544 0.0248531405398241 0.0182221079102453 "AT1G51660/AT3G45640" 2
"GO:0009875" "BP" "GO:0009875" "pollen-pistil interaction" 0.0121951219512195 "35/25784" 0.00448230420671122 0.0284564634040749 0.0208640331012536 "AT1G51660/AT1G73500/AT3G45640" 3
"GO:0009738" "BP" "GO:0009738" "abscisic acid-activated signaling pathway" 0.032520325203252 "270/25784" 0.00456708296411754 0.0287311037379031 0.0210653970210972 "AT5G26920/AT3G57530/AT4G09570/AT5G01540/AT3G45640/AT5G58430/AT1G09950/AT2G17290" 8
"GO:0051253" "BP" "GO:0051253" "negative regulation of RNA metabolic process" 0.032520325203252 "271/25784" 0.00466830887366626 0.0291033309961897 0.0213383108307932 "AT5G52830/AT1G68840/AT1G80840/AT3G56400/AT1G27730/AT4G11660/AT3G15210/AT1G13260" 8
"GO:0080086" "BP" "GO:0080086" "stamen filament development" 0.00813008130081301 "11/25784" 0.0047110453651953 0.0291075302920996 0.021341389718272 "AT1G17420/AT1G72520" 2
"GO:0002239" "BP" "GO:0002239" "response to oomycetes" 0.0203252032520325 "116/25784" 0.0051613279697863 0.0316074243813462 0.0231742904651793 "AT5G26920/AT3G01290/AT5G01540/AT3G56400/AT3G53810" 5
"GO:0010118" "BP" "GO:0010118" "stomatal movement" 0.024390243902439 "166/25784" 0.0053039191234075 0.0321957195912105 0.0236056234301239 "AT4G33050/AT3G56400/AT3G11820/AT2G39660/AT5G58430/AT2G17290" 6
"GO:0071215" "BP" "GO:0071215" "cellular response to abscisic acid stimulus" 0.0365853658536585 "339/25784" 0.00549158395656919 0.0327601387753955 0.0240194506993317 "AT5G26920/AT3G57530/AT4G09570/AT5G63130/AT5G01540/AT3G45640/AT5G58430/AT1G09950/AT2G17290" 9
"GO:0097306" "BP" "GO:0097306" "cellular response to alcohol" 0.0365853658536585 "339/25784" 0.00549158395656919 0.0327601387753955 0.0240194506993317 "AT5G26920/AT3G57530/AT4G09570/AT5G63130/AT5G01540/AT3G45640/AT5G58430/AT1G09950/AT2G17290" 9
"GO:0042537" "BP" "GO:0042537" "benzene-containing compound metabolic process" 0.016260162601626 "77/25784" 0.00634982454828469 0.0375562272428462 0.0275359013249952 "AT5G26920/AT2G40000/AT2G41010/AT4G39030" 4
"GO:0000289" "BP" "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 0.00813008130081301 "13/25784" 0.00659769064953047 0.0383664027686982 0.0281299150205545 "AT5G22250/AT3G44260" 2
"GO:0010117" "BP" "GO:0010117" "photoprotection" 0.00813008130081301 "13/25784" 0.00659769064953047 0.0383664027686982 0.0281299150205545 "AT3G22840/AT1G27730" 2
"GO:1901001" "BP" "GO:1901001" "negative regulation of response to salt stress" 0.00813008130081301 "14/25784" 0.00764915249991665 0.0441101127495193 0.0323411535522792 "AT4G37260/AT1G09950" 2
"GO:0031327" "BP" "GO:0031327" "negative regulation of cellular biosynthetic process" 0.040650406504065 "428/25784" 0.00837745343889718 0.0479107254522054 0.0351277299482248 "AT5G52830/AT5G22250/AT1G68840/AT1G80840/AT3G56400/AT3G44260/AT1G27730/AT4G11660/AT3G15210/AT1G13260" 10
"GO:0010928" "BP" "GO:0010928" "regulation of auxin mediated signaling pathway" 0.0121951219512195 "44/25784" 0.0085180618620815 0.0483155640045934 0.0354245540769912 "AT4G34410/AT4G37260/AT3G50060" 3
"GO:0005509" "MF" "GO:0005509" "calcium ion binding" 0.0765765765765766 "262/25119" 2.09933184699233e-10 4.3246236048042e-08 3.88928847442789e-08 "AT5G54490/AT5G47910/AT5G39670/AT5G37770/AT3G57530/AT4G09570/AT3G25600/AT1G76650/AT2G41100/AT5G42380/AT4G27280/AT1G66400/AT1G79680/AT3G01830/AT2G17290/AT2G41410/AT2G43290" 17
"GO:0005516" "MF" "GO:0005516" "calmodulin binding" 0.0405405405405405 "171/25119" 2.25698432702363e-05 0.00232469385683434 0.00209068021871662 "AT2G23320/AT5G26920/AT3G57530/AT4G33050/AT4G09570/AT1G27770/AT2G26190/AT2G41010/AT2G17290" 9
"GO:0008171" "MF" "GO:0008171" "O-methyltransferase activity" 0.018018018018018 "44/25119" 0.00061097627007388 0.0419537038784064 0.0377304643975449 "AT4G34050/AT1G21110/AT1G21120/AT1G21130" 4
